STATURE,BMI,MASS,HEAD_CIRC
1799,23.3,75.5,558
1657,30.6,84.0,559
1718,28.2,83.2,561
1838,29.1,98.4,579
1764,22.7,70.5,546
1726,24.3,72.3,567
1845,25.5,86.9,565
1704,31.9,92.7,574
1698,26.4,76.1,574
1763,22.5,70.0,573
1715,25.6,75.3,550
1793,31.5,101.3,586
1697,33.1,95.2,565
1818,25.3,83.5,580
1793,27.1,87.0,567
1708,31.1,90.7,567
1707,26.7,77.9,548
1827,24.4,81.4,556
1658,29.3,80.6,569
1671,23.9,66.7,556
1793,37.1,119.3,585
1757,22.5,69.4,542
1644,26.6,71.9,548
1741,26.2,79.5,553
1703,21.7,62.9,547
1772,22.2,69.6,569
1762,28.4,88.3,580
1690,22.6,64.4,566
1814,26.4,87.0,549
1689,23.3,66.5,554
1815,20.2,66.7,559
1762,28.3,88.0,575
1685,29.7,84.2,583
1755,28.1,86.6,598
1920,27.1,99.9,605
1848,23.6,80.7,565
1793,28.0,89.9,551
1712,26.3,77.0,551
1765,20.8,64.6,559
1802,26.0,84.4,564
1737,28.2,85.1,574
1733,25.2,75.7,571
1778,22.1,69.9,580
1747,32.4,98.8,610
1777,28.3,89.4,580
1751,31.9,97.7,573
1580,26.0,64.9,555
1815,25.5,83.9,567
1731,23.4,70.1,531
1727,26.1,77.8,581
1800,30.3,98.3,577
1721,30.8,91.2,575
1834,25.9,86.9,582
1697,24.5,70.4,561
1730,24.0,71.9,563
1712,23.9,70.1,566
1752,24.8,76.0,552
1735,23.2,69.9,556
1770,26.7,83.7,570
1771,29.9,93.7,575
1775,25.4,79.9,548
1792,25.6,82.0,564
1721,24.1,71.4,574
1849,27.9,95.5,606
1702,26.1,75.5,586
1811,24.0,78.6,565
1844,27.6,93.7,591
1667,20.8,57.8,544
1717,30.6,90.3,597
1750,23.9,73.1,560
1795,24.0,77.4,561
1794,31.1,100.1,563
1696,25.3,72.9,551
1788,26.8,85.5,564
1700,27.3,78.8,562
1719,22.7,67.2,534
1834,24.4,82.2,567
1790,24.7,79.2,566
1777,23.1,72.9,584
1719,22.3,65.8,571
1655,25.2,69.0,548
1725,29.7,88.5,563
1771,22.6,70.7,570
1619,22.1,58.0,538
1777,23.5,74.2,563
1782,25.5,80.8,575
1797,28.5,92.2,558
1768,28.5,89.0,567
1840,25.1,84.8,592
1622,28.7,75.5,579
1810,26.3,86.1,591
1662,24.2,66.8,552
1724,21.6,64.2,551
1738,26.8,80.8,552
1638,26.2,70.3,553
1797,25.1,81.1,576
1767,23.4,73.1,561
1792,28.0,89.8,594
1695,22.0,63.2,564
1785,29.1,92.6,577
1696,27.5,79.1,567
1733,26.4,79.4,579
1803,25.6,83.1,550
1812,28.4,93.2,552
1825,27.8,92.5,562
1875,24.7,86.8,568
1862,23.2,80.3,565
1575,19.6,48.5,562
1731,26.3,78.8,557
1692,27.0,77.2,549
1847,21.4,72.9,545
1653,22.8,62.2,554
1778,22.4,70.7,552
1817,25.8,85.0,555
1663,29.0,80.2,550
1811,24.6,80.6,575
1824,21.0,69.9,549
1734,23.8,71.5,555
1700,25.9,74.8,565
1800,26.3,85.2,563
1752,26.2,80.5,554
1857,24.5,84.4,578
1835,27.0,91.0,576
1667,29.7,82.5,555
1591,23.7,60.0,557
1656,29.4,80.5,566
1777,24.4,77.2,555
1767,27.0,84.3,561
1845,24.5,83.3,615
1683,27.0,76.4,576
1818,20.1,66.6,573
1720,31.6,93.4,571
1740,24.9,75.3,569
1758,27.1,83.8,582
1707,27.6,80.5,574
1706,26.4,77.0,572
1745,31.0,94.5,557
1733,28.4,85.2,586
1740,24.9,75.4,563
1768,23.0,71.9,566
1800,25.1,81.5,558
1756,23.5,72.4,565
1758,21.2,65.4,536
1818,29.4,97.0,590
1797,30.9,99.9,604
1891,22.1,79.2,571
1858,26.3,90.7,589
1873,27.4,96.0,608
1672,24.8,69.2,561
1659,29.5,81.2,569
1711,25.3,74.0,563
1735,34.0,102.4,578
1807,21.0,68.7,571
1700,21.1,61.0,553
1702,24.8,72.0,552
1810,21.7,71.2,559
1807,27.8,90.7,565
1710,24.8,72.5,578
1804,28.1,91.5,579
1738,28.9,87.3,571
1814,23.3,76.8,539
1795,21.2,68.4,532
1652,28.5,77.9,569
1721,25.8,76.4,571
1674,24.2,67.8,568
1843,26.3,89.2,589
1801,26.1,84.5,606
1780,22.1,70.0,547
1662,25.5,70.5,552
1712,26.9,78.7,541
1778,28.6,90.3,572
1771,24.2,75.9,556
1608,25.6,66.1,573
1682,30.3,85.6,567
1778,25.4,80.3,557
1857,32.4,111.6,593
1744,25.5,77.7,575
1832,33.8,113.3,586
1622,25.0,65.7,544
1742,24.0,72.8,542
1777,29.1,92.0,589
1822,28.8,95.5,575
1748,27.1,82.9,562
1836,24.8,83.7,552
1748,33.8,103.4,584
1712,27.6,81.0,561
1820,25.0,82.7,566
1823,21.7,72.2,557
1690,24.8,70.9,562
1572,27.8,68.7,555
1875,28.6,100.4,570
1811,24.3,79.6,574
1599,29.3,74.8,555
1777,31.5,99.6,578
1730,27.4,82.2,557
1778,27.9,88.3,552
1692,22.8,65.1,544
1850,23.8,81.6,567
1751,29.7,91.0,586
1764,24.3,75.6,561
1813,25.1,82.7,568
1772,27.6,86.8,579
1802,25.6,83.2,574
