STATURE,BMI,MASS,ACROMION_HT
1657,30.6,84,1354
1718,28.2,83.2,1396
1838,29.1,98.4,1529
1764,22.7,70.5,1418
1726,24.3,72.3,1417
1845,25.5,86.9,1513
1704,31.9,92.7,1413
1698,26.4,76.1,1383
1763,22.5,70,1448
1715,25.6,75.3,1388
1793,31.5,101.3,1455
1697,33.1,95.2,1394
1818,25.3,83.5,1519
1793,27.1,87,1490
1708,31.1,90.7,1396
1707,26.7,77.9,1418
1827,24.4,81.4,1513
1658,29.3,80.6,1374
1671,23.9,66.7,1372
1793,37.1,119.3,1478
1757,22.5,69.4,1435
1644,26.6,71.9,1365
1741,26.2,79.5,1426
1703,21.7,62.9,1409
1772,22.2,69.6,1453
1762,28.4,88.3,1445
1690,22.6,64.4,1380
1814,26.4,87,1522
1689,23.3,66.5,1373
1815,20.2,66.7,1509
1762,28.3,88,1440
1685,29.7,84.2,1384
1755,28.1,86.6,1437
1920,27.1,99.9,1612
1848,23.6,80.7,1526
1793,28,89.9,1498
1712,26.3,77,1412
1765,20.8,64.6,1420
1802,26,84.4,1507
1737,28.2,85.1,1426
1733,25.2,75.7,1407
1778,22.1,69.9,1482
1747,32.4,98.8,1447
1777,28.3,89.4,1501
1751,31.9,97.7,1470
1580,26,64.9,1262
1815,25.5,83.9,1477
1731,23.4,70.1,1405
1727,26.1,77.8,1423
1800,30.3,98.3,1460
1721,30.8,91.2,1447
1834,25.9,86.9,1505
1697,24.5,70.4,1402
1730,24,71.9,1419
1712,23.9,70.1,1420
1752,24.8,76,1416
1735,23.2,69.9,1406
1770,26.7,83.7,1473
1771,29.9,93.7,1451
1775,25.4,79.9,1459
1792,25.6,82,1466
1721,24.1,71.4,1400
1849,27.9,95.5,1501
1702,26.1,75.5,1387
1811,24,78.6,1487
1844,27.6,93.7,1490
1667,20.8,57.8,1378
1717,30.6,90.3,1433
1750,23.9,73.1,1421
1795,24,77.4,1497
1794,31.1,100.1,1486
1696,25.3,72.9,1370
1788,26.8,85.5,1485
1700,27.3,78.8,1390
1719,22.7,67.2,1431
1834,24.4,82.2,1493
1790,24.7,79.2,1456
1777,23.1,72.9,1464
1719,22.3,65.8,1422
1655,25.2,69,1341
1725,29.7,88.5,1424
1771,22.6,70.7,1427
1619,22.1,58,1307
1777,23.5,74.2,1445
1782,25.5,80.8,1509
1797,28.5,92.2,1486
1768,28.5,89,1453
1840,25.1,84.8,1509
1622,28.7,75.5,1321
1810,26.3,86.1,1489
1662,24.2,66.8,1350
1724,21.6,64.2,1412
1738,26.8,80.8,1406
1638,26.2,70.3,1327
1797,25.1,81.1,1486
1767,23.4,73.1,1438
1792,28,89.8,1453
1695,22,63.2,1379
1785,29.1,92.6,1478
1696,27.5,79.1,1377
1733,26.4,79.4,1452
1803,25.6,83.1,1463
1812,28.4,93.2,1493
1825,27.8,92.5,1507
1875,24.7,86.8,1555
1862,23.2,80.3,1543
1575,19.6,48.5,1274
1731,26.3,78.8,1420
1692,27,77.2,1355
1847,21.4,72.9,1543
1653,22.8,62.2,1353
1778,22.4,70.7,1493
1817,25.8,85,1483
1663,29,80.2,1378
1811,24.6,80.6,1494
1824,21,69.9,1489
1734,23.8,71.5,1409
1700,25.9,74.8,1402
1800,26.3,85.2,1503
1752,26.2,80.5,1434
1857,24.5,84.4,1517
1835,27,91,1513
1667,29.7,82.5,1375
1591,23.7,60,1296
1656,29.4,80.5,1348
1777,24.4,77.2,1444
1767,27,84.3,1468
1845,24.5,83.3,1523
1683,27,76.4,1360
1818,20.1,66.6,1521
1720,31.6,93.4,1387
1740,24.9,75.3,1435
1758,27.1,83.8,1465
1707,27.6,80.5,1374
1706,26.4,77,1415
1745,31,94.5,1422
1733,28.4,85.2,1417
1740,24.9,75.4,1410
1768,23,71.9,1425
1800,25.1,81.5,1453
1756,23.5,72.4,1444
1758,21.2,65.4,1412
1818,29.4,97,1503
1797,30.9,99.9,1488
1891,22.1,79.2,1580
1858,26.3,90.7,1515
1873,27.4,96,1555
1672,24.8,69.2,1322
1659,29.5,81.2,1357
1711,25.3,74,1422
1735,34,102.4,1415
1807,21,68.7,1497
1700,21.1,61,1384
1702,24.8,72,1383
1810,21.7,71.2,1472
1807,27.8,90.7,1524
1710,24.8,72.5,1395
1804,28.1,91.5,1496
1738,28.9,87.3,1460
1814,23.3,76.8,1519
1795,21.2,68.4,1466
1652,28.5,77.9,1371
1721,25.8,76.4,1429
1674,24.2,67.8,1353
1843,26.3,89.2,1502
1801,26.1,84.5,1473
1780,22.1,70,1464
1662,25.5,70.5,1369
1712,26.9,78.7,1394
1778,28.6,90.3,1444
